-0.004873	-0.004492	-0.004110	-0.003729	-0.003348	-0.002966	-0.002585	-0.002203	-0.001822	-0.001441	-0.001059	-0.000678	-0.000297	0.000085	0.000466	0.000848	0.001229	0.001610	0.001992	0.002373	
-0.004186	-0.003858	-0.003530	-0.003202	-0.002875	-0.002547	-0.002219	-0.001891	-0.001563	-0.001235	-0.000908	-0.000580	-0.000252	0.000076	0.000404	0.000732	0.001060	0.001387	0.001715	0.002043	
-0.003499	-0.003225	-0.002950	-0.002676	-0.002402	-0.002127	-0.001853	-0.001579	-0.001304	-0.001030	-0.000756	-0.000481	-0.000207	0.000067	0.000342	0.000616	0.000890	0.001165	0.001439	0.001713	
-0.002812	-0.002591	-0.002370	-0.002149	-0.001929	-0.001708	-0.001487	-0.001266	-0.001045	-0.000825	-0.000604	-0.000383	-0.000162	0.000058	0.000279	0.000500	0.000721	0.000942	0.001162	0.001383	
-0.002125	-0.001957	-0.001790	-0.001623	-0.001456	-0.001288	-0.001121	-0.000954	-0.000787	-0.000619	-0.000452	-0.000285	-0.000118	0.000050	0.000217	0.000384	0.000551	0.000719	0.000886	0.001053	
-0.001438	-0.001324	-0.001210	-0.001096	-0.000983	-0.000869	-0.000755	-0.000641	-0.000528	-0.000414	-0.000300	-0.000187	-0.000073	0.000041	0.000155	0.000268	0.000382	0.000496	0.000610	0.000723	
-0.000751	-0.000690	-0.000630	-0.000570	-0.000510	-0.000450	-0.000389	-0.000329	-0.000269	-0.000209	-0.000148	-0.000088	-0.000028	0.000032	0.000092	0.000153	0.000213	0.000273	0.000333	0.000393	
-0.000063	-0.000057	-0.000050	-0.000043	-0.000037	-0.000030	-0.000023	-0.000017	-0.000010	-0.000003	0.000003	0.000010	0.000017	0.000023	0.000030	0.000037	0.000043	0.000050	0.000057	0.000063	
0.000624	0.000577	0.000530	0.000483	0.000436	0.000389	0.000343	0.000296	0.000249	0.000202	0.000155	0.000108	0.000061	0.000015	-0.000032	-0.000079	-0.000126	-0.000173	-0.000220	-0.000266	
0.001311	0.001210	0.001110	0.001010	0.000909	0.000809	0.000708	0.000608	0.000508	0.000407	0.000307	0.000207	0.000106	0.000006	-0.000095	-0.000195	-0.000295	-0.000396	-0.000496	-0.000596	
0.001998	0.001844	0.001690	0.001536	0.001382	0.001228	0.001074	0.000920	0.000767	0.000613	0.000459	0.000305	0.000151	-0.000003	-0.000157	-0.000311	-0.000465	-0.000619	-0.000772	-0.000926	
0.002685	0.002477	0.002270	0.002063	0.001855	0.001648	0.001440	0.001233	0.001025	0.000818	0.000611	0.000403	0.000196	-0.000012	-0.000219	-0.000427	-0.000634	-0.000841	-0.001049	-0.001256	
0.003372	0.003111	0.002850	0.002589	0.002328	0.002067	0.001806	0.001545	0.001284	0.001023	0.000762	0.000501	0.000240	-0.000020	-0.000281	-0.000542	-0.000803	-0.001064	-0.001325	-0.001586	
0.004059	0.003744	0.003430	0.003116	0.002801	0.002487	0.002172	0.001858	0.001543	0.001229	0.000914	0.000600	0.000285	-0.000029	-0.000344	-0.000658	-0.000973	-0.001287	-0.001602	-0.001916	
0.004746	0.004378	0.004010	0.003642	0.003274	0.002906	0.002538	0.002170	0.001802	0.001434	0.001066	0.000698	0.000330	-0.000038	-0.000406	-0.000774	-0.001142	-0.001510	-0.001878	-0.002246	
